date,selection,odds,result,spread_line,spread_odds,spread_result,ou_line,ou_odds,ou_result,total_points,location
2012-11-09,New Orleans,-305.0,1,-7.17,-107.67,15.17,180.58,-108.67,25.419999999999987,206.0,home
2012-11-09,Minnesota,-120.25,1,-1.42,-108.33,3.42,184.25,-109.17,5.75,190.0,home
2012-11-09,Detroit,652.5,0,11.58,-109.67,-22.58,197.42,-108.17,1.5800000000000125,199.0,away
2012-11-09,Cleveland,131.2,0,3.33,-109.5,-5.33,200.92,-108.33,11.080000000000013,212.0,away
2012-11-10,Washington,309.6,0,7.33,-107.83,-11.33,185.33,-108.33,-11.330000000000013,174.0,away
2012-11-10,Minnesota,311.2,0,7.17,-107.0,-14.17,184.08,-108.33,-17.080000000000013,167.0,away
2012-11-10,Toronto,-143.25,0,-2.83,-106.67,-7.17,185.83,-107.5,-9.830000000000013,176.0,home
2012-11-10,Philadelphia,127.25,1,2.83,-110.0,7.17,185.83,-109.17,-9.830000000000013,176.0,away
2012-11-10,Indiana,-367.0,1,-7.33,-108.83,11.33,185.33,-108.33,-11.330000000000013,174.0,home
2012-11-10,Charlotte,214.0,1,5.92,-107.0,-1.92,198.75,-107.83,-0.75,198.0,home
2012-11-10,Dallas,-247.0,0,-5.92,-109.67,1.92,198.75,-108.83,-0.75,198.0,away
2012-11-10,Chicago,-372.0,1,-7.17,-109.67,14.17,184.08,-108.33,-17.080000000000013,167.0,home
2012-11-10,Houston,-303.4,1,-7.08,-110.33,21.08,194.75,-108.0,-16.75,178.0,home
2012-11-10,Phoenix,344.2,0,6.5,-109.5,-19.5,202.33,-108.83,-27.330000000000013,175.0,away
2012-11-10,Boston,-110.25,1,-0.83,-107.17,4.83,193.42,-108.33,-5.4199999999999875,188.0,away
2012-11-10,Utah,-422.0,1,-6.5,-107.17,19.5,202.33,-107.83,-27.330000000000013,175.0,home
2012-11-10,Portland,126.6,0,3.0,-108.17,-6.0,197.58,-106.33,23.419999999999987,221.0,home
2012-11-10,San Antonio,-143.2,1,-3.0,-108.5,6.0,197.58,-110.33,23.419999999999987,221.0,away
2012-11-10,Golden State,124.0,0,-0.92,-108.17,-5.08,202.67,-108.0,5.3300000000000125,208.0,home
2012-11-10,Denver,-139.75,1,0.92,-108.5,5.08,202.67,-108.67,5.3300000000000125,208.0,away
2012-11-10,Detroit,258.2,0,7.08,-106.33,-21.08,194.75,-108.67,-16.75,178.0,away
2012-11-10,Milwaukee,-54.75,0,0.83,-109.5,-4.83,193.42,-108.33,-5.4199999999999875,188.0,home
2012-11-11,L.A. Clippers,-258.0,1,-6.42,-109.17,19.42,195.42,-109.67,-30.419999999999987,165.0,home
2012-11-11,Atlanta,220.4,0,6.42,-109.17,-19.42,195.42,-108.67,-30.419999999999987,165.0,away
2012-11-11,Brooklyn,-394.0,1,-8.58,-107.17,16.58,190.42,-107.5,-34.41999999999999,156.0,home
2012-11-11,Orlando,325.8,0,8.58,-109.5,-16.58,190.42,-109.17,-34.41999999999999,156.0,away
2012-11-11,Cleveland,452.2,0,9.83,-110.5,-24.83,202.25,-106.33,-5.25,197.0,away
2012-11-11,Miami,-121.25,0,-2.08,-109.17,-15.92,194.5,-108.5,-4.5,190.0,away
2012-11-11,Oklahoma City,-580.0,1,-9.83,-106.5,24.83,202.25,-110.33,-5.25,197.0,home
2012-11-11,Sacramento,507.6,0,10.33,-107.83,-23.33,192.42,-110.0,0.5800000000000125,193.0,away
2012-11-11,L.A. Lakers,-684.0,1,-10.33,-110.5,23.33,192.42,-108.33,0.5800000000000125,193.0,home
2012-11-11,Memphis,106.0,1,2.08,-107.5,15.92,194.5,-108.17,-4.5,190.0,home
2012-11-12,Chicago,-142.5,0,-2.75,-110.17,-3.25,183.5,-108.67,12.5,196.0,home
2012-11-12,Toronto,129.0,0,3.0,-109.0,-10.0,192.5,-107.5,80.5,273.0,home
2012-11-12,Utah,-145.6,1,-3.0,-107.67,10.0,192.5,-109.17,80.5,273.0,away
2012-11-12,Philadelphia,-168.4,0,-4.0,-109.67,-5.0,190.33,-107.17,10.669999999999987,201.0,home
2012-11-12,Milwaukee,151.0,1,4.0,-107.0,5.0,190.33,-109.5,10.669999999999987,201.0,away
2012-11-12,Detroit,255.4,0,6.83,-108.33,-8.83,194.0,-108.67,-12.0,182.0,home
2012-11-12,Oklahoma City,-301.0,1,-6.83,-108.33,8.83,194.0,-108.0,-12.0,182.0,away
2012-11-12,Atlanta,123.4,1,2.75,-109.67,5.25,194.5,-108.83,-12.5,182.0,away
2012-11-12,Houston,195.6,0,5.58,-110.17,-8.58,194.75,-109.17,28.25,223.0,home
2012-11-12,Miami,-225.0,1,-5.58,-106.5,8.58,194.75,-107.5,28.25,223.0,away
2012-11-12,Dallas,-281.0,0,-7.08,-106.67,-0.9199999999999999,191.67,-108.33,-19.669999999999987,172.0,home
2012-11-12,Minnesota,242.4,1,7.08,-110.0,0.9199999999999999,191.67,-108.33,-19.669999999999987,172.0,away
2012-11-12,Phoenix,166.4,1,4.33,-108.5,5.67,203.0,-108.33,7.0,210.0,home
2012-11-12,Denver,-191.0,0,-4.33,-109.83,-5.67,203.0,-110.0,7.0,210.0,away
2012-11-12,Portland,-142.0,0,-2.75,-108.67,-5.25,194.5,-109.5,-12.5,182.0,home
2012-11-12,Boston,126.75,1,2.75,-106.5,3.25,183.5,-108.0,12.5,196.0,away
2012-11-13,New York,-302.0,1,-6.83,-110.17,16.83,188.33,-109.0,-0.3300000000000125,188.0,away
2012-11-13,Charlotte,-132.5,1,-2.08,-109.17,18.08,191.08,-108.0,-23.080000000000013,168.0,home
2012-11-13,Washington,117.0,0,2.08,-107.5,-18.08,191.08,-108.67,-23.080000000000013,168.0,away
2012-11-13,Orlando,253.4,0,6.83,-108.17,-16.83,188.33,-109.33,-0.3300000000000125,188.0,home
2012-11-13,Toronto,400.0,1,8.83,-107.17,-6.83,185.92,-109.83,-39.91999999999999,146.0,away
2012-11-13,Indiana,-500.0,0,-8.83,-109.5,6.83,185.92,-106.83,-39.91999999999999,146.0,home
2012-11-13,Cleveland,194.6,0,5.58,-108.17,-18.58,196.33,-108.5,18.669999999999987,215.0,away
2012-11-13,Sacramento,-123.25,0,-2.0,-106.5,-15.0,196.67,-109.5,-7.6699999999999875,189.0,home
2012-11-13,Portland,108.0,1,2.0,-110.17,15.0,196.67,-107.17,-7.6699999999999875,189.0,away
2012-11-13,L.A. Lakers,50.5,0,0.33,-107.83,-2.33,196.17,-107.83,-30.169999999999987,166.0,home
2012-11-13,San Antonio,-115.75,1,-0.33,-108.83,2.33,196.17,-108.83,-30.169999999999987,166.0,away
2012-11-13,Brooklyn,-224.0,1,-5.58,-108.5,18.58,196.33,-108.17,18.669999999999987,215.0,home
2012-11-14,Oklahoma City,-222.8,0,-5.42,-108.83,-4.58,194.67,-108.17,9.330000000000013,204.0,home
2012-11-14,Philadelphia,-355.6,0,-7.83,-105.83,-10.17,186.08,-109.5,-16.080000000000013,170.0,home
2012-11-14,Detroit,297.4,1,7.83,-110.83,10.17,186.08,-107.17,-16.080000000000013,170.0,away
2012-11-14,Boston,-215.0,1,-5.08,-107.83,10.08,191.58,-109.33,-0.5800000000000125,191.0,home
2012-11-14,Utah,185.6,0,5.08,-108.83,-10.08,191.58,-107.33,-0.5800000000000125,191.0,away
2012-11-14,Houston,-264.0,1,-6.58,-106.33,10.58,185.0,-109.33,11.0,196.0,home
2012-11-14,New Orleans,230.2,0,6.58,-110.33,-10.58,185.0,-107.33,11.0,196.0,away
2012-11-14,Indiana,162.2,0,4.5,-108.83,-18.5,189.67,-108.17,-5.6699999999999875,184.0,away
2012-11-14,Memphis,193.2,1,5.42,-107.83,4.58,194.67,-108.5,9.330000000000013,204.0,away
2012-11-14,Milwaukee,-184.0,1,-4.5,-109.5,18.5,189.67,-110.17,-5.6699999999999875,184.0,home
2012-11-14,Atlanta,49.75,0,1.25,-108.17,-5.25,193.08,-107.33,-13.080000000000013,180.0,away
2012-11-14,Dallas,-403.0,1,-8.42,-107.5,14.42,192.17,-108.83,15.830000000000013,208.0,home
2012-11-14,Washington,332.4,0,8.42,-109.17,-14.42,192.17,-107.83,15.830000000000013,208.0,away
2012-11-14,Phoenix,127.4,0,3.0,-110.83,-9.0,191.0,-106.83,27.0,218.0,home
2012-11-14,Chicago,-144.0,1,-3.0,-105.83,9.0,191.0,-109.83,27.0,218.0,away
2012-11-14,L.A. Clippers,-52.75,1,1.25,-109.0,5.75,197.42,-108.67,9.580000000000013,207.0,home
2012-11-14,Golden State,-115.0,1,-1.25,-108.5,5.25,193.08,-109.33,-13.080000000000013,180.0,home
2012-11-14,Miami,-112.25,0,-1.25,-107.67,-5.75,197.42,-108.0,9.580000000000013,207.0,away
2012-11-14,Minnesota,-285.0,0,-7.0,-108.33,5.0,182.83,-108.17,-6.8300000000000125,176.0,home
2012-11-14,Charlotte,244.6,1,7.0,-109.17,-5.0,182.83,-108.5,-6.8300000000000125,176.0,away
2012-11-15,Brooklyn,-215.2,1,-4.67,-108.33,9.67,190.92,-108.0,8.080000000000013,199.0,home
2012-11-15,Boston,188.2,0,4.67,-108.33,-9.67,190.92,-108.67,8.080000000000013,199.0,away
2012-11-15,San Antonio,-221.0,0,-5.5,-107.33,1.5,195.58,-108.67,8.419999999999987,204.0,home
2012-11-15,New York,192.0,1,5.5,-109.67,-1.5,195.58,-108.0,8.419999999999987,204.0,away
2012-11-15,Miami,128.8,1,2.83,-108.5,2.17,202.75,-108.67,-11.75,191.0,away
2012-11-15,Denver,-145.6,0,-2.83,-108.17,-2.17,202.75,-108.0,-11.75,191.0,home
2012-11-16,Indiana,-130.75,1,-2.0,-109.17,22.0,188.0,-109.0,-2.0,186.0,home
2012-11-16,Philadelphia,-117.0,1,-1.58,-108.67,7.58,186.42,-109.5,5.5800000000000125,192.0,home
2012-11-16,Utah,101.75,0,1.58,-108.0,-7.58,186.42,-107.17,5.5800000000000125,192.0,away
2012-11-16,Detroit,-197.2,0,-5.08,-109.0,1.08,186.33,-107.33,29.669999999999987,216.0,home
2012-11-16,Orlando,174.0,1,5.08,-107.67,-1.08,186.33,-109.33,29.669999999999987,216.0,away
2012-11-16,Oklahoma City,-263.0,1,-6.42,-107.0,21.42,186.83,-109.5,18.169999999999987,205.0,away
2012-11-16,Dallas,115.0,0,2.0,-107.5,-22.0,188.0,-107.67,-2.0,186.0,away
2012-11-16,New Orleans,229.0,0,6.42,-109.67,-21.42,186.83,-107.17,18.169999999999987,205.0,home
